일시	지점	일최저체감온도(°C)	일최고기온(°C)	일평균기온(°C)	일최저기온(°C)	일평균상대습도(%)	일평균풍속(m/s)	일최대풍속(m/s)	한파특보(O/X)	한파영향예보(단계)	동파가능지수(03h)(단계)	동파가능지수(06h)(단계)	동파가능지수(09h)(단계)	동파가능지수(12h)(단계)	동파가능지수(15h)(단계)	동파가능지수(18h)(단계)	동파가능지수(21h)(단계)	동파가능지수(24h)(단계)
2024-01-01	임실(244)	-1.8	8	3.2	-1.3	86	.6	2	주의보	관심								
2024-01-01	정읍(245)	-.6	9.1	4.6	-.1	74	.5	1.8	X	 								
2024-01-01	남원(247)	-2.9	8.7	2.9	-2.1	88	.8	2.1	X	 								
2024-01-01	장수(248)	-2.9	7.5	2.7	-1.5	82.1	.8	3.8	X	관심								
2024-01-01	영광군(252)	-.8	9.2	4.4	-.5	76.9	.6	2.2	X	관심								
2024-01-01	김해시(253)	-1.8	12.7	5.7	1.4	66.8	1.5	3.1	X	 								
2024-01-01	순창군(254)	-2.8	9.4	3.2	-1.9	86.1	.9	3	X	관심								
2024-01-01	양산시(257)	.9	13.2	7.1	1.4	62.9	1.7	3.8	X	 								
2024-01-01	강진군(259)	-1.7	9.6	4.7	-1.6	81.5	.7	3.5	X	관심								
2024-01-01	장흥(260)	-2.4	10.3	4.2	-3.2	81.4	.6	3	X	관심								
2024-01-01	해남(261)	-1.7	9.5	4.6	-1.6	80.5	1	3.7	X	관심								
2024-01-01	고흥(262)		11.3	4.9	-1.8	79.6	.5	2.7	X	관심								
2024-01-01	의령군(263)	-4.2	11.7	3.5	-3.7	81.4	.7	2.3	X	 								
2024-01-01	함양군(264)	-3	9.6	2.9	-3.4	78.6	.5	1.9	X	 								
2024-01-01	진도군ASOS(268)	.1	9.8	5.1	1.2	72.8	1.7	4.3	X	관심								
2024-01-01	봉화(271)	.7	5.8	2.8	1.2	83.3	.6	2.1	X	 								
2024-01-01	영주(272)	-3.4	5.9	2.3	-.9	84.5	.8	2.5	X	 								
2024-01-01	문경(273)	-4.8	7.1	2.5	-2	83.8	1	2.7	X	 								
2024-01-01	청송군(276)	-3	6.9	2	-1.7	80.5	.7	2	X	 								
2024-01-01	영덕(277)	-1.3	7.7	4.9	1.1	67.9	1.7	4.2	X	 								
2024-01-01	의성(278)	-1.8	9.1	3	-2.5	82.3	.4	1.7	X	 								
2024-01-01	구미(279)	-1.7	8.9	3.5	-1.3	75.5	.5	1.7	X	 								
2024-01-01	영천(281)	-2.8	9.4	2.9	-1.9	79.8	.8	3	X	 								
2024-01-01	경주시(283)	-1.6	9.4	3.9	.2	72.3	1.6	4.2	X	 								
2024-01-01	거창(284)	-3.8	8.9	1.6	-4.2	86	.4	2	X	 								
2024-01-01	합천(285)	-1.1	10.9	3.7	-2.3	73.3	.3	1.5	X	 								
2024-01-01	밀양(288)	-1.7	11.3	4.2	-2	68.8	.3	1.3	X	 								
2024-01-01	산청(289)	-3.4	9.6	2.4	-3.5	80.8	.4	1.7	X	 								
2024-01-01	거제(294)	1.4	10.4	5.2	.7	77.6	.6	2	X	 								
2024-01-01	남해(295)	-.6	9.8	5.2	.9	71.8	1.1	2.2	X	 								
2024-01-01	부천(433)	-1.7	5.7	2.2	-2	80	.4	1.8	X	 								
2024-01-01	안양(434)	-.5	6.6	3.7	.5		.5	3.1	X	 								
2024-01-01	광명(437)	1	7.2	4.3	.9	77	.7	2.2	X	 								
2024-01-01	군포(438)	0	6.6	3.2	-.5	78	.6	2.4	X	 								
2024-01-01	김포(441)		6.3	2.4	-1.6		.4	2.1	X	 								
2024-01-01	하남(444)		5.7	1.6	-3	85	.1	.9	X	 								
2024-01-01	의왕(445)	-3	6.1	2.4	-2.2	84	.9	3.3	X	 								
2024-01-01	포천(504)	-5.6	7	1.4	-2.9	87	.8	4.4	X	 								
2024-01-01	가평조종(505)	-2.7	6.6	1.1	-1.9	94	.4	1.7	X	 								
2024-01-01	안성(516)	-3.2	8	2.5	-1.3	88	.8	2.2	X	 								
2024-01-01	간성(517)	-2.3	6	2.8	1.1	85	1.8	5	X	 								
2024-01-01	평창(526)	-1.6	5.3	1	-.7	86	.4	1.4	X	 								
2024-01-01	의정부(532)	-4.2	7	2	-2.3	83	.6	2	X	 								
2024-01-01	횡성(536)	-1.7	6.3	2.2	0	90	.6	2	X	 								
2024-01-01	고양(540)	2.5	7.8	2.5	-2.4	85			X	 								
2024-01-01	남양주(541)	-3.1	7.1	2.3	-2	85	.9	2.6	X	 								
2024-01-01	안산(545)		7.2	1.6	-4.1	87	.3	1.8	X	 								
2024-01-01	경기광주(546)	-4.3	4.2	.6	-1.5	96	.9	2.2	X	 								
2024-01-01	여주(548)	-3.3	1.9	.1	-1.6	99	.5	1.3	X	 								
2024-01-01	용인(549)	-3.3	5.1	.8	-1.6	95	.4	1.3	X	 								
2024-01-01	오산(550)	-1.6	8	1.7	-3.1	89	.4	2.3	X	 								
2024-01-01	평택(551)	-2.3	7.9	2.8	-1.7	92	.6	1.7	X	 								
2024-01-01	화천(555)	-1.9	5.8	1.8	-.7	87	.5	1.8	X	 								
2024-01-01	양구(556)	-1.5	5.3	2.4	-.4	75	1	3.6	X	 								
2024-01-01	시흥(565)	-2.6	7.1	1.6	-4.1	89	.3	2.7	X	 								
2024-01-01	구리(569)	-2.2	7	2.6	-.7	84	.8	2.2	X	 								
2024-01-01	화성(571)	-3.4	7.5	2.5	-1.8	86	.6	2.7	X	 								
2024-01-01	성남(572)	-.5	5.9	2.3	-1.9	75	.4	1.9	X	 								
2024-01-01	과천(590)	-3	7	2.3	-3.1	87	.5	2.4	X	 								
2024-01-01	양주(598)	-4.4	7.2	1.1	-4	93	.7	2.8	X	 								
2024-01-01	단양(601)	-1.3	6.6	2.3	.3	92	.4	1.5	X	 								
2024-01-01	진천(602)	-2.6	5.8	2.1	-.1	90	.6	2.8	X	 								
2024-01-01	괴산(603)	-2	7.3	2.2	-1.4	89	.6	3	X	 								
2024-01-01	옥천(604)	-2.5	8.1	2.8	-1.9	84	.4	1.5	X	 								
2024-01-01	홍북(608)								X	관심								
2024-01-01	공주(612)	-2.7	7.3	2.7	-1.3	90	.8	2.5	X	 								
2024-01-01	서천(614)	-1.6	8.3	4.4	-.7	82	1.1	2.7	X	관심								
2024-01-01	논산(615)	-2.7	7.9	3.6	-2.1	84	.9	2.9	X	관심								
2024-01-01	당진(616)	-1.9	7.6	2.6	-.9	91	.6	2.4	X	관심								
2024-01-01	청양(618)	-1.5	7.9	2.7	-2.2	85	.4	2.1	X	관심								
2024-01-01	음성(619)	-3.3	7.5	1.9	-.4	91	1.3	3.6	X	 								
2024-01-01	증평(623)	-1.7	6.1	2.3	-1.4	87	.5	2.7	X	 								
2024-01-01	태안(627)	1.3	8.3	3.9	-.1	83	.5	2.9	X	관심								
2024-01-01	예산(628)	-2.3	6.9	2.4	-1.6	92	.7	1.8	X	관심								
2024-01-01	아산(634)	-1.2	6.3	2	-1.9	94			X	관심								
2024-01-01	계룡(636)	-4.5	7.8	1.6	-3.6	91			X	관심								
2024-01-01	연천청산(652)	-4.8	5.1	1	-2.7	92	.6	2.3	X	 								
2024-01-01	양양(670)	-.3	6.7	3.5	1.5	80	1.2	3.1	X	 								
2024-01-01	무안(699)	-2.3	9.3	4.5	-.7	76	1.2	3.1	X	관심								
2024-01-01	무주(701)	-2.7	8.2	3.1	-1.3	84	1	3.8	X	 								
2024-01-01	익산(702)	-1.4	9.1	4.7	-.9	75	1	2.5	X	관심								
2024-01-01	진안(703)	-3.7	7.2	2.7	-1.6	83	1.1	3.2	X	관심								
2024-01-01	담양(706)	-3.2	9.4	4.4	-1.8	88	1	2.9	X	관심								
2024-01-01	구례(709)	-2.1	8.5	2.3	-2.7	94	.6	2.1	X	관심								
2024-01-01	나주(710)	-2.7	9	4.3	-2	84	.9	2.4	X	관심								
2024-01-01	순천시(712)	-4	12.2	4.4	-2.3	81	1	3.2	X	관심								
2024-01-01	광양읍(713)	-2.6	11.5	4.7	-2	75	.7	1.9	X	 								
2024-01-01	장성(730)	-2.8	10	4.5	-1.5	78	.7	2.3	X	관심								
2024-01-01	영암(731)	-4	8.4	3.8	-2.1	85	.8	2.5	X	관심								
2024-01-01	보성(732)	-1.2	9.8	3.1	-3.8	83	.5	2.4	X	관심								
2024-01-01	완주(734)	-2.8	9	3.9	-.7	86	1	3	X	관심								
2024-01-01	김제(737)	-.4	8.7	4.8	.4	76	1.1	2.8	X	 								
2024-01-01	화순(741)	-4.3	11.9	4.4	-1.9	78	1	3.2	X	관심								
2024-01-01	함평(754)	-2.6	9.5	4.4	-1.3	80	1.2	3	X	관심								
2024-01-01	곡성(768)	-2.2	8.5	2.8	-1.5	88	.6	2	X	 								
2024-01-01	압해도(789)	1.8	9.3	5.2	1.8	74	1	3	X	관심								
2024-01-01	영양(801)	-1.2	6.6	1.9	-.8	87	.7	2.2	X	 								
2024-01-01	성주(810)	-4.1	11	3.4	-3.7	74	.7	3.1	X	 								
2024-01-01	고령(812)	-3	9.9	2.3	-4.4	82	.4	1.5	X	 								
2024-01-01	청도(813)	-7.1	10.8	2.8	-4.1	78	1.4	2.7	X	 								
2024-01-01	예천(815)	-3.6	8.7	2.8	-2.8	79	.6	1.7	X	 								
2024-01-01	김천(822)	-1.5	10	3.3	-2.7	78	.6	2.6	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	군위(823)	-3.3	8.8	2.7	-1.8	84	.6	2.3	X	 								
2024-01-01	칠곡(825)	-2.7	10	4	-1.6	83	.7	2.5	X	 								
2024-01-01	경산(827)	-1.9	9.2	3.5	-1.4	75	.5	1.6	X	 								
2024-01-01	삼척(876)	-.6	6.9	3.4	.5	81	1.1	2.6	X	 								
2024-01-01	속초(90)	-.6	6.1	2.7	.9	81.6	1	2.3	X	 								
2024-01-01	삼천포(907)	.6	10.9	6.2	1.5	68	1.4	4.5	X	 								
2024-01-01	고성(918)		11.1	3.9	-1.8	79	0	.4	X	 								
2024-01-01	창녕(919)	-3.6	10.5	3.7	-3.3	79	.6	2.6	X	 								
2024-01-01	함안(920)	-4.9	10.4	2.6	-4.2	80	.8	2.6	X	 								
2024-01-01	북춘천(93)	-1.9	5.4	2	-.5	82.9	.6	1.6	X	 								
2024-01-01	하동(932)	-2.8	11.7	4.3	-2.2	76	.6	2.1	X	 								
2024-01-01	철원(95)	-2.5	5.3	1.7	-1.9	85.6	.7	2.4	X	 								
2024-01-01	동두천(98)	.5	6	1.5	-2.8	87.6	.8	2.4	X	 								
2024-01-01	파주(99)	-4.5	5.3	1	-4.1	91	.6	1.7	X	 								
2024-01-02	북강릉(104)	2.1	9.5	5.5	2.3	54.1	1.5	3.5	X	 								
2024-01-02	동해(106)	2.2	10.1	6.6	3.5	54.9	1.6	4.8	X	 								
2024-01-02	서울(108)	-.3	4.3	2.9	2.2	72.6	1.6	3.1	X	 								
2024-01-02	인천(112)	-.1	3.9	2.6	1.7	73.9	1.7	4.3	X	 								
2024-01-02	원주(114)	2.4	5.1	3.3	1.8	82.6	.4	1.6	X	 								
2024-01-02	울릉도(115)	1.9	8.5	6.8	5.1	68.6	4	8.8	X	 								
2024-01-02	수원(119)	-1.6	4.8	2.5	.4	78.4	1.1	3.2	X	 								
2024-01-02	영월(121)	.7	6.1	3.1	.8	79.3	.9	2.9	X	 								
2024-01-02	충주(127)	-.1	4.5	2.1	.2	89.5	.5	1.8	X	 								
2024-01-02	서산(129)	.5	5.1	3	.4	82.5	.8	2.4	X	 								
2024-01-02	울진(130)	-1.1	10.2	5.8	.7	57	2.4	4.4	X	 								
2024-01-02	청주(131)	1.9	6.4	4.4	2.5	70.1	.8	2.1	X	 								
2024-01-02	대전(133)	.2	6.4	4	1.5	72.3	1.3	3.3	X	 								
2024-01-02	추풍령(135)	-.8	5.5	4	2.2	70.3	2.4	4.7	X	 								
2024-01-02	안동(136)	.8	7	3.4	.6	74	1.3	4.5	X	 								
2024-01-02	상주(137)	2.1	7.9	4.8	2.5	70.1	1.3	3.5	X	 								
2024-01-02	포항(138)	1.3	9.9	6.6	3.4	57.6	2.6	6.2	X	 								
2024-01-02	군산(140)	1.4	7.5	4.5	2.9	78.3	1.6	4.5	X	 								
2024-01-02	대구(143)	.6	10.6	6.1	2.5	64	1.8	4.6	X	 								
2024-01-02	전주(146)	2.6	7.7	5.4	4	72.3	1.1	3.5	X	 								
2024-01-02	울산(152)	.7	11.2	6.8	2.7	59.8	1.8	3.8	X	 								
2024-01-02	창원(155)	4.7	11.5	7.1	4.4	57.4	.7	3.4	X	 								
2024-01-02	광주(156)	3.4	8.3	5.8	3.8	80.9	.6	1.8	X	 								
2024-01-02	부산(159)	3.6	12.6	8.6	6	55	2.5	4.9	X	 								
2024-01-02	통영(162)	3.4	11.8	7.6	5.2	65.3	2.1	4.6	X	 								
2024-01-02	목포(165)	2.2	7.4	5.4	3.6	76.6	1.7	5.3	X	 								
2024-01-02	여수(168)	2.3	10.5	7.5	5	58.5	3.9	7.7	X	 								
2024-01-02	흑산도(169)	1.8	8.9	7	5.2	75.4	3.1	6.3	X	 								
2024-01-02	완도(170)	1.5	10.1	6.4	2.4	72.9	1.1	3.1	X	 								
2024-01-02	고창(172)	-1.5	8	3.8	.3	81.3	1.5	4.6	X	 								
2024-01-02	제주(184)	5.6	13.9	9.9	6.9	68.4	2.1	4.2	X	 								
2024-01-02	진주(192)	2.8	11.6	5.6	.7	71.4	.4	1.6	X	 								
2024-01-02	양평(202)	-1.1	4.9	2.1	.1	85.6	.7	2.3	X	 								
2024-01-02	이천(203)	-.8	4.5	1.3	-.8	91.5	.4	1.6	X	 								
2024-01-02	인제(211)	.1	4.2	3	-.5	67	2.2	4.4	X	 								
2024-01-02	홍천(212)	1.4	4.3	1.8	-.3	83	.3	2.5	X	 								
2024-01-02	태백(216)	-5	2.9	0	-2.7	71.4	1.8	4.3	X	 								
2024-01-02	정선군(217)	-1.6	4.9	1.8	-1.6	66.3	1.7	3.8	X	 								
2024-01-02	제천(221)	-.4	3.7	1.4	-1.1	89.6	.8	2.6	X	 								
2024-01-02	보은(226)	.8	6.4	3.1	1.2	86.4	.7	3	X	 								
2024-01-02	천안(232)	-.7	5.6	2.9	-.2	87.3	.5	2.3	X	 								
2024-01-02	보령(235)	1.1	6.5	4.4	2.5	77.8	.7	2.2	X	 								
2024-01-02	부여(236)	1.5	7.2	4.3	2	80.4	.6	3.4	X	 								
2024-01-02	금산(238)	1.2	6.5	3.7	2	79.3	.7	3	X	 								
2024-01-02	세종(239)	.7	6.2	3.7	1.3	79.8	1	3.2	X	 								
2024-01-02	부안(243)	3.7	7.9	5.2	3.6	79.6	.7	2.8	X	 								
2024-01-02	임실(244)	1.6	6.8	3.6	1.4	83.1	.6	3	주의보	 								
2024-01-02	정읍(245)	2.6	7.9	4.9	2.7	73.8	.8	3.1	X	 								
2024-01-02	남원(247)	.2	7.6	3.9	1.6	83.9	.7	2	X	 								
2024-01-02	장수(248)	-.1	5	2.8	.9	80.4	.8	2.8	X	 								
2024-01-02	영광군(252)	0	8	4.1	.5	80.8	.8	3.1	X	 								
2024-01-02	김해시(253)	3.2	11.7	7.1	3.5	61.3	1.4	4.3	X	 								
2024-01-02	순창군(254)	.4	7.4	4	1.2	82.6	1.1	3.7	X	 								
2024-01-02	양산시(257)	3.4	12.1	7.7	4.3	63.8	1.4	3.9	X	 								
2024-01-02	강진군(259)	0	9.1	5.1	.5	83.5	.8	4.1	X	 								
2024-01-02	장흥(260)	.2	9.6	4.4	-.5	82.4	1	3.5	X	 								
2024-01-02	해남(261)	-1.7	8.8	4.3	-1	85.6	.8	3.5	X	 								
2024-01-02	고흥(262)		11.3	6.3	1	75.8	.9	4	X	 								
2024-01-02	의령군(263)	1	12.5	5.9	2	76.9	1.5	5.7	X	 								
2024-01-02	함양군(264)	1.5	8	5	2.1	66.6	2	4.5	X	 								
2024-01-02	진도군ASOS(268)	-3.9	8.9	4.2	-1.1	84.8	1.1	3.2	X	 								
2024-01-02	봉화(271)	-1.5	6.7	2.9	.1	76.4	1.2	3.2	X	 								
2024-01-02	영주(272)	-1.9	5.3	3.3	1.1	73.6	4.1	7.5	X	 								
2024-01-02	문경(273)	-.3	6.8	4.1	1.6	71.8	1.7	3.7	X	 								
2024-01-02	청송군(276)	-4.1	6.6	2.2	-2.6	75.9	2	5.8	X	 								
2024-01-02	영덕(277)	-2.8	9	5.5	-.3	60.6	2.8	6.4	X	 								
2024-01-02	의성(278)	-.8	8.1	3.2	-.6	81.3	.6	3.6	X	 								
2024-01-02	구미(279)	1.8	10.3	5.3	1.5	67.9	.7	2.8	X	 								
2024-01-02	영천(281)	.2	9.5	4.6	.4	71.9	1.4	4.8	X	 								
2024-01-02	경주시(283)	-1.9	10.3	5.7	.4	62.9	2.2	5.6	X	 								
2024-01-02	거창(284)	-.1	8.7	3.9	.6	75	.9	4	X	 								
2024-01-02	합천(285)	1.6	10.7	5.3	-.2	66.8	.6	2.7	X	 								
2024-01-02	밀양(288)	3.3	11.5	6.1	2.9	63.1	.6	2.5	X	 								
2024-01-02	산청(289)	-1	9.2	3.9	-.7	73.4	1.8	7.9	X	 								
2024-01-02	거제(294)	6	10.3	7.3	4.4	70.6	.9	2.9	X	 								
2024-01-02	남해(295)	3.9	11	7.7	4.7	60.8	1.8	4	X	 								
2024-01-02	부천(433)	1.2	3.9	2.3	1.3	66	.5	1.5	X	 								
2024-01-02	안양(434)	1.2	5	3.4	2.4		.6	2.7	X	 								
2024-01-02	광명(437)	2	5.3	3.8	3	67	.8	2.4	X	 								
2024-01-02	군포(438)	.5	4.6	3.1	2.1	68	.8	2.8	X	 								
2024-01-02	김포(441)		5.2	2.4	.8				X	 								
2024-01-02	하남(444)	3	4	1.3	-1.2	79	0	.8	X	 								
2024-01-02	의왕(445)	-1.2	4.4	2.2	0	76	.7	2.5	X	 								
2024-01-02	포천(504)	-1.2	5.2	1.6	-.1	82	1.2	3.1	X	 								
2024-01-02	가평조종(505)	-1.7	4.1	1	-1.2	87	.9	3.2	X	 								
2024-01-02	안성(516)	-2.4	5	2.3	-.2	87	.9	3.3	X	 								
2024-01-02	간성(517)	-1.8	7.6	3.3	.1	61	2.2	5.4	X	 								
2024-01-02	평창(526)	-.6	4.1	1.1	-1	77	.6	2.4	X	 								
2024-01-02	의정부(532)	-.1	4.7	2.2	.1	73	.5	1.8	X	 								
2024-01-02	횡성(536)	.2	4.8	1.7	-.2	86	.8	3.7	X	 								
2024-01-02	고양(540)	1.9	5.4	2.1	.4	80	.2	2.3	X	 								
2024-01-02	남양주(541)	-.3	5	2.3	0	79	.6	3.1	X	 								
2024-01-02	안산(545)	1.4	5	1.6	-1.5	83	.3	2.4	X	 								
2024-01-02	경기광주(546)	-.1	3.7	1.1	-.9	85	.4	1.8	X	 								
2024-01-02	여주(548)	-1.5	4.1	1.2	-.5	94	.4	1.7	X	 								
2024-01-02	용인(549)	-.9	4.4	1.5	-.9	85	.5	2.2	X	 								
2024-01-02	오산(550)	-.7	5.4	2.3	-.5	82	.6	2.8	X	 								
2024-01-02	평택(551)	.1	5.9	3.1	.5	85	1	3.4	X	 								
2024-01-02	화천(555)	-3	5.2	1.5	-1.4	76	1.3	4.4	X	 								
2024-01-02	양구(556)	-2	3.8	1.5	-1.9	71	1.3	3.5	X	 								
2024-01-02	시흥(565)	-.5	5	1.6	-.8	85	.5	3.1	X	 								
2024-01-02	구리(569)	-.2	4.6	2.5	.7	78	.9	2.7	X	 								
2024-01-02	화성(571)	2.2	4.5	2.7	1	78	.2	1.9	X	 								
2024-01-02	성남(572)	1.9	4.8	2.5	.2	67	.4	1.9	X	 								
2024-01-02	과천(590)	-.1	4.8	2.1	-.5	82	.5	2	X	 								
2024-01-02	양주(598)	-2	5.1	1.5	-.3	82	1	3	X	 								
2024-01-02	단양(601)	0	5.2	2.1	.1	89	.7	3.3	X	 								
2024-01-02	진천(602)	-1	5.4	2.6	.2	86	.6	2.9	X	 								
2024-01-02	괴산(603)	-1.1	5.7	1.9	-.7	88	.6	2.9	X	 								
2024-01-02	옥천(604)	2	6.9	4.2	2.2	77	.5	2.2	X	 								
2024-01-02	홍북(608)								X	 								
2024-01-02	공주(612)	1.3	6.8	3.4	.3	85	.7	2.7	X	 								
2024-01-02	서천(614)	2.3	6.9	4.2	2.5	85	.8	3.3	X	 								
2024-01-02	논산(615)	1.3	7.3	4.4	2.1	82	1	4.3	X	 								
